MJD & Phase & Instrument & Telescope & Filter & AB Mag & 1sig Error & DMag & Ref & Note \\
57982.981 & 0.452 &  E2V 4kx4k ccd & Swope & i & 17.48 & 0.02& 0 & \citeauthor{SwopeDiscovery}&*\\
57982.990 & 0.461 & FourStar & Magellan & H & 18.26 & 0.15 &  0 &\citeauthor{drout2017light}&*\\
57982.993 & 0.464 &  Alta U47+ & Prompt5 & r & 17.46 & 0.03 &  0 &\citeauthor{valenti2017discovery}&*\\
57982.999 & 0.470 & VIRCAM & VISTA & Ks & 18.62 & 0.05 & 0 & \citeauthor{tanvir2017emergence}&*\\
57983.000 & 0.471 & FourStar & Magellan & J & 17.83 & 0.15 & 0 & \citeauthor{drout2017light}&*\\
57983.000 & 0.471 & LDSS & Magellan & V & 17.35 & 0.02 & 0 & \citeauthor{ShappeeSpectra}&*\\
57983.000 & 0.471 & LDSS & Magellan & r & 17.33 & 0.02 & 0 & \citeauthor{ShappeeSpectra}&*\\
57983.000 & 0.471 & LDSS & Magellan & z & 17.67 & 0.03 & 0 & \citeauthor{drout2017light}&*\\
57983.001 & 0.472 &  MASTER & OAFA & W & 17.50 & 0.20 & 0 & \citeauthor{lipunov2017master}&*\\
57983.003 & 0.474 & DECam & Blanco/CTIO & i & 17.48 & 0.03 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57983.004 & 0.475 & DECam & Blanco/CTIO & z & 17.59 & 0.03 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57983.006 & 0.477 & LDSS & Magellan & g & 17.41 & 0.02 & 0 & \citeauthor{drout2017light}&*\\
57983.009 & 0.480 & VIRCAM & VISTA & J & 17.88 & 0.03 & 0 & \citeauthor{tanvir2017emergence}&*\\
57983.011 & 0.482 & LDSS & Magellan & g & 17.41 & 0.04 & 0 & \citeauthor{drout2017light}&*\\
57983.011 & 0.482 & Sinistro & LCO 1m & w & 17.49 & 0.04 & 0 & \citeauthor{arcavi2017optical}& X\\
57983.014 & 0.485 & LDSS & Magellan & g & 17.39 & 0.02 & 0 & \citeauthor{ShappeeSpectra}&*\\
57983.015 & 0.486 &  MASTER  & OAFA & W & 17.10 & 0.20 & 0 & \citeauthor{lipunov2017master}&*\\
57983.019 & 0.490 & VIRCAM & VISTA & Y & 17.46 & 0.01 & 0 & \citeauthor{tanvir2017emergence}&*\\
57983.028 & 0.499 &  Alta U47+ & Prompt5 & r & 17.56 & 0.04 & 0 & \citeauthor{valenti2017discovery}&*\\
57983.029 & 0.500 & VIRCAM & VISTA & Ks & 18.64 & 0.06 & 0 & \citeauthor{tanvir2017emergence}&*\\
57983.030 & 0.501 & FourStar & Magellan & Ks & 18.41 & 0.15 & 0 & \citeauthor{drout2017light}&*\\
57983.039 & 0.510 & VIRCAM & VISTA & J & 17.82 & 0.03 & 0 & \citeauthor{tanvir2017emergence}&*\\
57983.050 & 0.521 & ROS2 & REM & g & 17.32 & 0.07 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57983.050 & 0.521 & ROS2 & REM & i & 16.98 & 0.05 & 0 & \citeauthor{pian2017spectroscopic}&*\\
