 ! Swift/XRT detailed lightcurve of trigger: 10724, name: AT2018cow
 ! Swift/XRT lightcurve of trigger: 10724, name: AT2018cow
 ! T0 for this burst is Swift MET=551097137.0 s, = 2018 Jun 19 at 10:31:55.845 UT
 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! PC data
211.718	50.000	-50.000	8.404978e-01	1.315519e-01	-1.315519e-01	8.789829e-04	6.215348e-04	1.000000
311.718	50.000	-50.000	7.687050e-01	1.235180e-01	-1.235180e-01	1.318474e-03	7.612216e-04	1.000000
411.718	50.000	-50.000	9.081521e-01	1.346887e-01	-1.346887e-01	2.636949e-03	1.076530e-03	1.000000
511.718	50.000	-50.000	4.110619e-01	9.086682e-02	-9.086682e-02	2.636949e-03	1.076530e-03	1.000000
611.718	50.000	-50.000	6.732040e-01	1.302079e-01	-1.302079e-01	1.671191e-03	9.648626e-04	0.788943
10811.718	50.000	-50.000	5.312738e-01	1.135999e-01	-1.135999e-01	7.649540e-04	5.409042e-04	0.827198
10911.718	50.000	-50.000	5.643129e-01	1.071370e-01	-1.071370e-01	1.265537e-03	6.327687e-04	1.000000
11011.718	50.000	-50.000	5.685221e-01	1.079361e-01	-1.079361e-01	1.265537e-03	6.327687e-04	1.000000
11111.718	50.000	-50.000	4.186580e-01	9.220523e-02	-9.220523e-02	1.898306e-03	7.749803e-04	1.000000
11211.718	50.000	-50.000	5.669154e-01	1.913216e-01	-1.562814e-01	1.643275e-03	1.161971e-03	0.385066
67711.718	50.000	-50.000	3.806152e-01	7.981922e-02	-7.981922e-02	1.314980e-03	6.574899e-04	0.982292
67811.718	50.000	-50.000	4.429634e-01	9.289218e-02	-9.289218e-02	1.286553e-03	6.432765e-04	0.999992
67911.718	50.000	-50.000	3.178788e-01	6.170493e-02	-6.170493e-02	2.278493e-03	8.611895e-04	1.000000
68011.718	50.000	-50.000	2.729057e-01	5.748340e-02	-5.748340e-02	2.278493e-03	8.611895e-04	1.000000
68111.718	50.000	-50.000	3.658365e-01	6.598781e-02	-6.598781e-02	1.301996e-03	6.509981e-04	1.000000
68211.718	50.000	-50.000	3.410601e-01	6.391645e-02	-6.391645e-02	2.603992e-03	9.206503e-04	1.000000
68311.718	50.000	-50.000	2.849305e-01	5.832197e-02	-5.832197e-02	6.509981e-04	4.603251e-04	1.000000
68411.718	50.000	-50.000	3.209942e-01	6.185114e-02	-6.185114e-02	3.254990e-04	3.254990e-04	1.000000
68511.718	50.000	-50.000	3.872991e-01	6.803381e-02	-6.803381e-02	2.929491e-03	9.764971e-04	1.000000
68611.718	50.000	-50.000	4.143933e-01	7.235420e-02	-7.235420e-02	1.031557e-03	5.955695e-04	0.946625
177011.718	50.000	-50.000	3.898179e-01	9.520396e-02	-9.520396e-02	1.880249e-03	9.401244e-04	0.617162
177111.718	50.000	-50.000	2.353619e-01	6.211030e-02	-6.211030e-02	3.191150e-03	9.621681e-04	1.000000
177211.718	50.000	-50.000	4.543068e-01	8.487947e-02	-8.487947e-02	1.740628e-03	7.106082e-04	1.000000
177311.718	50.000	-50.000	3.712439e-01	1.195621e-01	-9.849774e-02	1.105258e-03	6.381209e-04	0.782166
177411.718	50.000	-50.000	3.011622e-01	9.722838e-02	-8.009875e-02	1.148781e-03	5.743907e-04	1.000000
177511.718	50.000	-50.000	2.513351e-01	8.945740e-02	-7.231919e-02	5.743907e-04	4.061555e-04	1.000000
