!MJD        T_+ve       T_-ve       Rate        Ratepos     Rateneg Something
58288.5045933854    0.0638802430555555  -0.0638802430555555 6.298657e-01    3.756576e-02    -3.756576e-02   ::ObsID=00010724002
58289.2277295428    0.00574590277777778 -0.00574590277777778    3.524801e-01    2.146186e-02    -2.146186e-02   ::ObsID=00010724003
58290.4959796481    0.00852725694444444 -0.00852725694444444    2.719164e-01    2.035938e-02    -2.035938e-02   ::ObsID=00010724005
58290.6977641852    0.00545569444444444 -0.00545569444444444    2.943814e-01    1.904004e-02    -1.904004e-02   ::ObsID=00010724008
58291.5620815926    0.00574590277777778 -0.00574590277777778    3.032749e-01    2.039818e-02    -2.039818e-02   ::ObsID=00010724011
58291.6996436759    0.00771923611111111 -0.00771923611111111    2.376403e-01    1.458891e-02    -1.458891e-02   ::ObsID=00010724009
58292.0862226053    0.00655759259259259 -0.00655759259259259    2.298680e-01    1.562598e-02    -1.562598e-02   ::ObsID=00010724012
58292.2867251632    0.00815452546296296 -0.00815452546296296    2.543239e-01    1.454026e-02    -1.454026e-02   ::ObsID=00010724010
58293.6797176979    0.00607895833333333 -0.00607895833333333    2.076791e-01    1.661821e-02    -1.661821e-02   ::ObsID=00010724018
58293.8078303137    0.000928634259259259    -0.000928634259259259   1.904812e-01    3.726162e-02    -3.726162e-02   ::ObsID=00010724015
58294.5474321817    0.0078643287037037  -0.0078643287037037 2.445477e-01    1.573776e-02    -1.573776e-02   ::ObsID=00010724019
58294.6136698669    0.00759056712962963 -0.00759056712962963    2.428404e-01    1.645136e-02    -1.645136e-02   ::ObsID=00010724017
58295.5514036979    0.00528234953703704 -0.00528234953703704    1.868009e-01    1.563731e-02    -1.563731e-02   ::ObsID=00010724022
58295.6130799826    0.00522694444444444 -0.00522694444444444    1.987519e-01    2.165141e-02    -2.165141e-02   ::ObsID=00010724025
58296.5439374653    0.00718045138888889 -0.00718045138888889    2.211503e-01    1.512020e-02    -1.512020e-02   ::ObsID=00010724026
58296.6787444444    0.00709306712962963 -0.00709306712962963    1.903008e-01    1.367685e-02    -1.367685e-02   ::ObsID=00010724028
58297.5392706482    0.00768644675925926 -0.00768644675925926    2.387839e-01    1.437527e-02    -1.437527e-02   ::ObsID=00010724030
58297.8036294907    0.00721491898148148 -0.00721491898148148    2.383349e-01    1.615751e-02    -1.615751e-02   ::ObsID=00010724032
58298.1994825278    0.00719528935185185 -0.00719528935185185    2.673161e-01    1.718434e-02    -1.718434e-02   ::ObsID=00010724034
58298.3987453634    0.00933083333333333 -0.00933083333333333    3.191332e-01    1.792569e-02    -1.792569e-02   ::ObsID=00010724036
58299.5224761968    0.00379993055555556 -0.00379993055555556    1.925807e-01    1.946524e-02    -1.946524e-02   ::ObsID=00010724038
58299.7268692292    0.00898256944444445 -0.00898256944444445    1.506192e-01    1.207804e-02    -1.207804e-02   ::ObsID=00010724040
58300.5900672905    0.00897871527777778 -0.00897871527777778    1.178463e-01    1.042406e-02    -1.042406e-02   ::ObsID=00010724042
58301.153541735 0.505902835648148   -0.505902835648148  1.505116e-01    9.079058e-03    -9.079058e-03   ::ObsID=00010724044
58301.7946673831    0.00784771990740741 -0.00784771990740741    1.505927e-01    1.327325e-02    -1.327325e-02   ::ObsID=00010724048
58302.0783551076    0.0366706365740741  -0.0366706365740741 1.240755e-01    1.618415e-02    -1.618415e-02   ::ObsID=00010724052
58302.3911876076    0.00924809027777778 -0.00924809027777778    1.478047e-01    1.068463e-02    -1.068463e-02   ::ObsID=00010724050
58303.2149956632    0.0430762037037037  -0.0430762037037037 1.742534e-01    1.041511e-02    -1.041511e-02   ::ObsID=00010724053
58303.7860101076    0.00606511574074074 -0.00606511574074074    1.232182e-01    1.192296e-02    -1.192296e-02   ::ObsID=00010724055
58304.277440831 0.109107141203704   -0.109107141203704  1.021215e-01    6.941131e-03    -6.941131e-03   ::ObsID=00010724056
58305.2075582037    0.0428517592592593  -0.0428517592592593 1.312419e-01    7.261370e-03    -7.261370e-03   ::ObsID=00010724059
58305.6375345579    0.00317765046296296 -0.00317765046296296    1.717736e-01    1.944165e-02    -1.944165e-02   ::ObsID=00010724061
58306.2703610208    0.0418819675925926  -0.0418819675925926 2.134016e-01    8.971149e-03    -8.971149e-03   ::ObsID=00010724062
58306.7751608241    0.00581844907407407 -0.00581844907407407    2.379028e-01    1.668890e-02    -1.668890e-02   ::ObsID=00010724064
58307.1652836134    0.00597805555555556 -0.00597805555555556    1.730640e-01    1.389958e-02    -1.389958e-02   ::ObsID=00010724065
58307.7370103843    0.0432750115740741  -0.0432750115740741 1.015343e-01    7.714993e-03    -7.714993e-03   ::ObsID=00010724066
58308.1606909722    0.00639884259259259 -0.00639884259259259    6.440663e-02    8.438005e-03    -8.438005e-03   ::ObsID=00010724070
58308.803227037 0.0423342708333333  -0.0423342708333333 6.403434e-02    7.085079e-03    -7.085079e-03   ::ObsID=00010724068
58309.2298797685    0.00596354166666667 -0.00596354166666667    1.598805e-01    1.330470e-02    -1.330470e-02   ::ObsID=00010724071
58309.8076745255    0.0344248263888889  -0.0344248263888889 2.349199e-01    3.208712e-02    -3.208712e-02   ::ObsID=00010724072
58310.21977875  0.00565883101851852 -0.00565883101851852    1.982920e-01    1.530128e-02    -1.530128e-02   ::ObsID=00010724074
58310.7182534491    0.0354941087962963  -0.0354941087962963 1.031289e-01    9.741041e-03    -9.741041e-03   ::ObsID=00010724076
58310.7942628935    0.0422565162037037  -0.0422565162037037 5.262776e-02    1.633629e-02    -1.355949e-02   ::ObsID=00010724075
58311.1611878704    0.00592001157407407 -0.00592001157407407    4.613349e-02    7.465085e-03    -7.465085e-03   ::ObsID=00010724077
58311.7608084606    0.00558628472222222 -0.00558628472222222    4.991722e-02    1.056077e-02    -1.056077e-02   ::ObsID=00010724078
58312.4520624653    0.0379428587962963  -0.0379428587962963 4.958550e-02    6.223158e-03    -6.223158e-03   ::ObsID=00010724079
58314.8194881713    0.0705051736111111  -0.0705051736111111 1.137310e-01    1.267060e-02    -1.267060e-02   ::ObsID=00010724082
58315.6671419444    0.00480024305555555 -0.00480024305555555    5.437805e-02    8.942188e-03    -8.942188e-03   ::ObsID=00010724080
58316.5309412963    0.00838668981481482 -0.00838668981481482    2.929589e-02    5.054294e-03    -5.054294e-03   ::ObsID=00010724083
